total_flow,major_share,mode,mean_delay,ci_low,ci_high,p95_delay,throughput,end_queue,max_approach_delay,delay_gini,replications
1200,0.9,Signal,8.588,8.449,8.726,30.546,1202.7,0.0,32.308,0.3462,40
1400,0.9,AWSC,7.559,7.344,7.775,17.635,1396.6,3.1,8.862,0.0434,40
1400,0.9,Signal,9.031,8.923,9.139,30.415,1398.25,0.0,32.545,0.3362,40
1600,0.9,AWSC,12.794,11.737,13.85,32.647,1600.55,5.55,14.515,0.0352,40
1600,0.9,Signal,9.652,9.53,9.775,31.213,1604.225,0.0,33.148,0.325,40
1800,0.9,AWSC,133.935,114.578,153.292,229.731,1688.0,117.65,138.974,0.0187,40
1800,0.9,Signal,10.385,10.252,10.518,31.487,1802.425,0.0,33.637,0.3109,40
2000,0.9,AWSC,379.587,361.67,397.505,611.108,1640.075,356.175,388.989,0.0104,40
2000,0.9,Signal,11.498,11.334,11.662,33.944,1991.225,0.0,35.148,0.2988,40
2200,0.9,AWSC,593.158,576.636,609.68,965.03,1592.725,619.725,613.054,0.013,40
2200,0.9,Signal,13.271,13.039,13.502,37.992,2205.525,0.075,37.62,0.2806,40
2400,0.9,AWSC,756.167,742.451,769.883,1233.459,1543.425,856.3,771.483,0.0105,40
2400,0.9,Signal,15.528,15.172,15.883,41.563,2390.775,0.05,38.319,0.248,40
2600,0.9,AWSC,907.745,894.388,921.101,1482.426,1488.9,1122.0,930.531,0.0106,40
2600,0.9,Signal,23.371,21.746,24.997,59.878,2594.275,1.275,43.337,0.1825,40
